Instancia,Tempo,Total Branching,Average Branching, Min Branching, Max Branching,States Visited,Puko Moves,Box Moves
site-0-box-moves,0.000000s,55,2.750000,2,4,20,11,4
site-0-puko-moves,0.000000s,103,2.641026,2,4,39,11,4
site-1-box-moves,0.000000s,5825,2.414007,1,6,2413,129,48
site-1-puko-moves,0.010000s,5976,2.404829,1,6,2485,127,52
site-10-box-moves,2.620000s,343205,2.440204,1,6,140646,538,173
site-10-puko-moves,2.620000s,343192,2.440095,1,6,140647,512,249
site-11-box-moves,0.000000s,33,3.000000,2,5,11,5,1
site-11-puko-moves,0.000000s,56,3.294118,2,5,17,5,3
site-2-box-moves,0.040000s,13549,2.423359,1,6,5591,127,51
site-2-puko-moves,0.040000s,13286,2.427997,1,6,5472,127,53
site-3-box-moves,0.030000s,10655,2.437657,1,6,4371,122,51
site-3-puko-moves,0.040000s,10843,2.439919,1,6,4444,118,53
site-4-box-moves,0.040000s,12220,2.306531,1,6,5298,162,62
site-4-puko-moves,0.050000s,12383,2.302957,1,6,5377,154,74
site-5-box-moves,0.050000s,12953,2.435232,1,4,5319,232,59
site-5-puko-moves,0.040000s,13517,2.425444,1,4,5573,214,69
site-6-box-moves,0.610000s,122298,2.401485,1,6,50926,254,80
site-6-puko-moves,0.620000s,121972,2.401024,1,6,50800,222,92
site-7-box-moves,0.390000s,83922,2.329290,1,6,36029,312,114
site-7-puko-moves,0.390000s,82659,2.324755,1,6,35556,296,142
site-8-box-moves,0.310000s,60216,2.472733,1,5,24352,267,85
site-8-puko-moves,0.310000s,60257,2.472589,1,5,24370,248,93
site-9-box-moves,1.840000s,269115,2.428660,1,6,110808,254,94
site-9-puko-moves,1.790000s,268860,2.428397,1,6,110715,238,108
